content,label
well said sonu|you have courage to stand against dadagiri of muslims,OAG
most of private banks  atm  ' s like  hdfc | icici  etc are out of cash|only public sector bank ' s  atm  working,NAG
now question is|pakistan will adhere to this,OAG
pakistan is comprised of fake muslims who does not know the meaning of unity and imposes their thoughts on others|all the rascals have gathered there,OAG
we r against cow slaughter|so of course it will stop leather manufacturing if it happens,NAG
wondering why educated ambassador is struggling to pay through credit / debit at a decent restaurant|cant imagine that diplomat of a developed nation is not having a card and he needs cash only for dinner,CAG
how does inflation react to all the after shocks of this demon,NAG
not good job|this guis creating a problem n our socacity,CAG
this is a false news indian media is simply misguiding there nation and creating hatred|media should be v careful while spreading the news| shame |<sad>,NAG
no permanent foes|no permanent friends|interest is permanent,NAG
deepak kumar sharma saab|chalo aap ki ye baat ek baar mann li|now whatever pm saab has talked about in |kya kya kia us main|he is just a campaigner of  bjp  nothing else|ek cheez bta do|but he is implementing all the bills which he opposed before |example -  fdi | gst  and list is long,NAG
communist parties killed lacks of opponents in wb in  years ruling|,OAG
why you guys counter the modi govt decisions|its fact there is black money cleanup stand taken|so many discussions on news channel|individuals meetings why so much of efforts made by media and make people scared and provoke,NAG
rss is  time ban terrorist organization,OAG
no same acting ll be there|but we ll watch no option|:grimacing_face: :winking_face_with_tongue:,NAG
happy diwali|let us wish the next one year health|wealth n growth to our indian economy,NAG
lolz|he said he is gonna employ large number of people in cyber security sector|are you gonna employ illiterates in that profile,NAG
so funny stupid,OAG
absolutely|the deeper you dive the shallower cushion you have,CAG
"brown sahib|anti national leftist commies|media and muslim pandering hindu sick - o - lars have milked "" secularism "" to all it was worth to render it into a mere failed slogan|sick - o - larism has been nothing more than continuation of british policy of "" divide and rule ""|that  rss  is opposed to "" the idea of secularism ""|absolutely because it has been used as a dagger into the heart of hindus|hinduism and hindustan",CAG
now nifty above  day moving average|what next  day moving average ,NAG
good to see when their in no error  in pak and afgan and india as well so in can for development step,NAG
first of all|there is no gaurakshak in assam|the villagers beaten those two thieves|these things happen|when thieves try to steal the only property farmers have,NAG
